2025-09-29 22:11:41 | http:401 | sender:SmartBin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"error":"sender id is not registered or approved. please contact our support team via support@mnotify.com or call 0541509394 for assistance."}
2025-09-29 22:21:02 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"CA67E7B4-08E1-4F50-A6CC-15E8293208B0","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":295,"wallet_used":0}}
2025-09-29 23:38:37 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"D8DBD652-9A71-4B47-ADB9-D2BF739513ED","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":294,"wallet_used":0}}
2025-09-29 23:46:02 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"145125DE-7888-45B4-BC00-8B2CFAF5964A","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":293,"wallet_used":0}}
2025-09-29 23:48:58 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"5E0DF127-5146-4C90-865A-455D59CC56F7","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":292,"wallet_used":0}}
2025-09-30 01:57:14 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 1 located at Main Entrance.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"0FE6E070-6559-4F6A-AF28-C0C2D960B11D","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":291,"wallet_used":0}}
2025-09-30 01:58:04 | http:200 | sender:Smart Bin | recipients:["233509147115"] | payload:{"message":"Maintenance requested for Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"D70EF672-BCC5-4FB6-8F44-53F207F905E7","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233509147115"],"credit_used":1,"credit_left":290,"wallet_used":0}}
2025-09-30 01:59:12 | http:200 | sender:Smart Bin | recipients:["233509147115"] | payload:{"message":"Maintenance requested for Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"DB5C1115-6BB9-4216-BE49-F9AB163E28A3","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233509147115"],"credit_used":1,"credit_left":289,"wallet_used":0}}
2025-09-30 04:36:18 | http:200 | sender:Smart Bin | recipients:["233509147115"] | payload:{"message":"Maintenance requested for Dustbin ID 1 located at Main Entrance.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"51433FE2-CB10-44DB-BB77-2656D7B2B828","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233509147115"],"credit_used":1,"credit_left":288,"wallet_used":0}}
2025-09-30 04:36:45 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 1 located at Main Entrance.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"4C70EFA9-6484-4882-AB55-4A73378EB41E","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":287,"wallet_used":0}}
2025-09-30 04:58:51 | http:200 | sender:Smart Bin | recipients:["233509147115"] | payload:{"message":"Maintenance requested for Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"3A893BEF-7D69-4E18-854A-4D73D28FC0EE","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233509147115"],"credit_used":1,"credit_left":286,"wallet_used":0}}
2025-09-30 04:59:10 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 6 located at Parking Lot.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"28785E3D-4C51-44EC-B5AD-EA4EF4FFF8C3","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":285,"wallet_used":0}}
2025-09-30 05:15:30 | http:200 | sender:Smart Bin | recipients:["233503598094"] | payload:{"message":"Maintenance requested for Dustbin ID 9 located at Library .","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"3C240F37-A2FB-4FCE-BB0E-DA73DB49612D","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233503598094"],"credit_used":1,"credit_left":284,"wallet_used":0}}
2025-09-30 05:44:59 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 9 located at Library .","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"19EB13ED-2F10-4F33-BB2A-1AE1D5052617","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":283,"wallet_used":0}}
2025-09-30 05:46:02 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 9 located at Library .","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"795CB4E2-6394-41EC-BCA2-7828AB43B662","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":282,"wallet_used":0}}
2025-09-30 05:46:15 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 3 located at Main Entrance.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"9A202AD4-CCCF-4045-83BA-653411DE1678","message_id":"20250929233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":281,"wallet_used":0}}
2025-09-30 18:09:19 | http:200 | sender:Smart Bin | recipients:["233257048004"] | payload:{"message":"Please empty Dustbin ID 3 located at Main Entrance.","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"ECA87228-6D53-475D-B24F-15FD95F7C167","message_id":"20250930233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233257048004"],"credit_used":1,"credit_left":280,"wallet_used":0}}
2025-09-30 18:09:38 | http:200 | sender:Smart Bin | recipients:["233503598094"] | payload:{"message":"Maintenance requested for Dustbin ID 9 located at Library .","is_schedule":false} | resp:{"status":"success","code":"2000","message":"messages sent successfully","summary":{"_id":"8DEF7062-96C7-4455-9CF9-F85E4FE076E2","message_id":"20250930233257048004V2","type":"API QUICK SMS","total_sent":1,"contacts":1,"total_rejected":0,"numbers_sent":["233503598094"],"credit_used":1,"credit_left":279,"wallet_used":0}}
